Zeitstempel,Participant,Collision,Feedback,Subscale 1 Score,Subscale 2 Score,Subscale 3 Score,Subscale 4 Score,Total Score
2018/09/27 12:20:40 PM OEZ,19,Col_off,FB_off,8,17,17,14,56
2018/09/27 12:36:46 PM OEZ,19,Col_on,FB_on,22,22,21,15,80
2018/10/04 12:51:11 PM OEZ,20,Col_on,FB_off,19,12,18,10,59
2018/10/04 1:13:43 PM OEZ,20,Col_off,FB_on,15,8,13,14,50
2018/10/04 1:28:31 PM OEZ,20,Col_on,FB_on,11,8,10,13,42
2018/10/04 1:48:09 PM OEZ,20,Col_off,FB_off,9,10,9,15,43
2018/10/08 11:21:17 AM OEZ,21,Col_on,FB_off,21,13,5,10,49
2018/10/08 11:36:43 AM OEZ,21,Col_off,FB_off,17,14,8,12,51
2018/10/08 11:49:33 AM OEZ,21,Col_off,FB_on,25,16,17,13,71
2018/10/08 12:01:35 PM OEZ,21,Col_on,FB_on,17,15,13,12,57
2018/10/09 2:56:23 PM OEZ,22,Col_on,FB_off,10,7,16,8,41
2018/10/09 3:25:40 PM OEZ,22,Col_off,FB_off,9,7,14,12,42
2018/10/09 3:41:49 PM OEZ,22,Col_on,FB_on,19,14,20,12,65
2018/10/09 3:55:58 PM OEZ,22,Col_off,FB_on,18,16,20,12,66
2018/10/18 10:46:14 AM OEZ,23,Col_on,FB_off,8,8,14,15,45
2018/10/18 10:59:15 AM OEZ,23,Col_on,FB_on,5,12,10,9,36
2018/10/18 11:18:08 AM OEZ,23,Col_off,FB_on,4,10,17,12,43
2018/10/18 11:35:48 AM OEZ,23,Col_off,FB_off,4,10,13,9,36
2018/10/18 12:09:21 PM OEZ,24,Col_on,FB_off,24,12,13,16,65
2018/10/18 12:19:52 PM OEZ,24,Col_on,FB_on,19,16,18,16,69
2018/10/18 12:34:30 PM OEZ,24,Col_off,FB_off,17,16,18,15,66
2018/10/18 12:46:34 PM OEZ,24,Col_off,FB_on,18,16,18,15,67
