Zeitstempel,Participant,Collision,Feedback,SUS Score
2018/08/15 11:09:30 AM OEZ,11,Col_on,FB_on,100
2018/08/15 2:17:17 PM OEZ,12,Col_off,FB_off,90
2018/08/15 2:35:37 PM OEZ,12,Col_on,FB_off,87.5
2018/08/15 2:55:57 PM OEZ,12,Col_on,FB_on,72.5
2018/08/15 3:30:05 PM OEZ,12,Col_off,FB_on,90
2018/08/21 6:12:17 PM OEZ,13,Col_on,FB_on,87.5
2018/08/21 6:33:03 PM OEZ,13,Col_off,FB_on,77.5
2018/08/21 6:53:27 PM OEZ,13,Col_off,FB_off,77.5
2018/08/21 7:16:12 PM OEZ,13,Col_on,FB_off,92.5
2018/08/22 11:24:43 AM OEZ,14,Col_on,FB_on,72.5
2018/08/22 11:39:55 AM OEZ,14,Col_off,FB_on,52.5
2018/08/22 11:51:50 AM OEZ,14,Col_on,FB_off,70
2018/08/22 12:03:44 PM OEZ,14,Col_off,FB_off,62.5
2018/08/23 11:07:19 AM OEZ,15,Col_on,FB_on,75
2018/08/23 11:40:22 AM OEZ,15,Col_off,FB_off,75
2018/08/23 11:55:38 AM OEZ,15,Col_off,FB_on,72.5
2018/08/23 12:11:03 PM OEZ,15,Col_on,FB_off,75
2018/08/23 2:22:38 PM OEZ,16,Col_on,FB_on,85
2018/08/23 2:36:45 PM OEZ,16,Col_off,FB_off,77.5
2018/08/23 2:47:27 PM OEZ,16,Col_on,FB_off,77.5
2018/08/23 2:58:55 PM OEZ,16,Col_off,FB_on,70
2018/08/24 11:30:08 AM OEZ,17,Col_on,FB_on,72.5
2018/08/24 11:51:31 AM OEZ,17,Col_on,FB_off,90
2018/08/24 12:07:16 PM OEZ,17,Col_off,FB_on,87.5
2018/08/24 12:22:06 PM OEZ,17,Col_off,FB_off,95
2018/09/27 4:25:59 PM OEZ,18,Col_on,FB_on,80
2018/09/27 4:45:18 PM OEZ,18,Col_on,FB_off,82.5
2018/09/27 5:06:38 PM OEZ,18,Col_off,FB_off,80
2018/09/27 5:23:10 PM OEZ,18,Col_off,FB_on,70
2018/09/27 11:49:29 AM OEZ,19,Col_on,FB_off,75
2018/09/27 12:03:45 PM OEZ,19,Col_off,FB_on,72.5
2018/09/27 12:22:10 PM OEZ,19,Col_off,FB_off,77.5
