Position at the beginning of painting: (-8.9, 1.3, -17.7) Rotation at the beginning of painting: (0.1, -1.0, 0.0, 0.0)
-8.73213000;1.28528200;-18.27543000
-8.72826600;1.28158800;-18.28184000
-8.73437200;1.28227600;-18.28787000
-8.72807300;1.28797600;-18.28705000
-8.72645100;1.29530000;-18.28383000
-8.72628700;1.30391200;-18.28167000
-8.72989200;1.31115800;-18.28115000
-8.72884500;1.31986700;-18.27801000
-8.73047000;1.32813100;-18.27585000
-8.73184600;1.33738700;-18.27266000
-8.73666600;1.34589400;-18.27157000
-8.73717400;1.35405900;-18.26923000
-8.73943700;1.36191800;-18.26675000
-8.74217700;1.37108800;-18.26400000
-8.74473800;1.37986400;-18.26122000
-8.74574100;1.38750700;-18.25793000
-8.74824000;1.39672400;-18.25477000
-8.75177100;1.40561800;-18.25240000
-8.75479100;1.41419500;-18.24948000
-8.75709800;1.42322400;-18.24571000
-8.76021100;1.43077100;-18.24374000
-8.76250900;1.43924800;-18.24080000
-8.76563600;1.44645900;-18.23810000
-8.76838900;1.45593700;-18.23530000
-8.77255300;1.46306100;-18.23322000
-8.77528400;1.47104000;-18.23046000
-8.78006600;1.47962800;-18.22774000
-8.78325600;1.48721600;-18.22516000
-8.78635000;1.49518500;-18.22219000
-8.79084100;1.50301100;-18.21964000
-8.79397900;1.51044700;-18.21730000
-8.79856700;1.51683000;-18.21539000
-8.80330800;1.52418500;-18.21404000
-8.80595800;1.53298600;-18.21177000
-8.81108000;1.54111400;-18.20955000
-8.81590600;1.54837800;-18.20829000
-8.82190800;1.55371500;-18.20797000
-8.82909500;1.56069300;-18.20701000
-8.83612400;1.56695600;-18.20636000
-8.84357300;1.57208100;-18.20534000
-8.85078800;1.57663500;-18.20423000
-8.85926200;1.58195400;-18.20369000
-8.86790900;1.58754400;-18.20269000
-8.87646500;1.59294900;-18.20101000
-8.88429100;1.59650500;-18.19920000
-8.89340600;1.59775300;-18.19873000
-8.90243300;1.59772700;-18.19932000
-8.91273000;1.59756200;-18.19913000
-8.92321000;1.59682100;-18.19939000
-8.93350300;1.59514500;-18.20050000
-8.94139300;1.59269400;-18.20262000
-8.94906800;1.58916900;-18.20431000
-8.95494200;1.58361000;-18.20631000
-8.96115500;1.57709700;-18.20882000
-8.96467100;1.57008600;-18.21237000
-8.97055100;1.56265700;-18.21611000
-8.97386700;1.55473700;-18.22022000
-8.97839500;1.54688100;-18.22415000
-8.98330800;1.53945200;-18.22743000
-8.98412200;1.53126500;-18.23233000
-8.98702800;1.52272800;-18.23722000
-8.98895500;1.51474000;-18.24174000
