UserId;Timestamp;Instruction;Task;T1Start;T1End;T2Start;T2End;FillValue;PressureValue;Paint_CSV;T1Delta;T2Delta;FillDelta;PressureDelta
24;1579253111331;shared_view;brush;1579253096140;1579253111326;1579253098592;1579253105227;-1.0;-1.0;PaintConditionData/U24DataPaint.csv;15186;6635;;
1;1579024922194;verbal;drehen;1579024884540;1579024922191;1579024889578;1579024918400;-1.0;0.5203747999999999;;37651;28822;;-0.020374799999999915
29;1579800896362;shared_view;brush;1579800871789;1579800896356;1579800880543;1579800894656;-1.0;-1.0;PaintConditionData/U29DataPaint.csv;24567;14113;;
1;1579025417637;verbal;oel;1579025402741;1579025417633;1579025408313;1579025414151;51.19979;-1.0;;14892;5838;-1.1997900000000001;
24;1579252470942;shared_view;drehen;1579252438298;1579252470938;1579252449650;1579252468027;-1.0;0.49254659999999995;;32640;18377;;0.007453400000000054
11;1579797429152;verbal;drehen;1579797266741;1579797429149;1579797341269;1579797426668;-1.0;0.5005476;;162408;85399;;-0.0005475999999999814
30;1579859577282;shared_view;drehen;1579859465348;1579859577270;1579859469612;1579859571580;-1.0;0.28677859999999994;;111922;101968;;0.21322140000000006
40;1580290588473;shared_body;brush;1580290579082;1580290588468;1580290582071;1580290585681;-1.0;-1.0;PaintConditionData/U40DataPaint.csv;9386;3610;;
6;1579190326440;verbal;oel;1579190239287;1579190326435;1579190312504;1579190322043;51.79978;-1.0;;87148;9539;-1.7997799999999984;
23;1579202147143;shared_view;brush;1579202131698;1579202147138;1579202136402;1579202144415;-1.0;-1.0;PaintConditionData/U23DataPaint.csv;15440;8013;;
40;1580291032768;shared_body;oel;1580291013835;1580291032764;1580291016776;1580291028294;52.29977;-1.0;;18929;11518;-2.2997700000000023;
37;1579084206723;shared_body;brush;1579084190162;1579084206717;1579084199328;1579084204119;-1.0;-1.0;PaintConditionData/U37DataPaint.csv;16555;4791;;
37;1579083138835;shared_body;drehen;1579083065926;1579083138822;1579083074833;1579083124510;-1.0;0.0951645;;72896;49677;;0.4048355
6;1579189970379;verbal;brush;1579189911709;1579189970374;1579189960840;1579189968476;-1.0;-1.0;PaintConditionData/U6DataPaint.csv;58665;7636;;
23;1579199969315;shared_view;oel;1579199950727;1579199969310;1579199956468;1579199966940;79.29936;-1.0;;18583;10472;-29.299359999999993;
23;1579201223213;shared_view;drehen;1579201189757;1579201223209;1579201195487;1579201220055;-1.0;0.45765839999999997;;33452;24568;;0.042341600000000035
6;1579189117830;verbal;drehen;1579189046867;1579189117827;1579189068504;1579189113981;-1.0;0.0;;70960;45477;;0.5
40;1580291440109;shared_body;drehen;1580291419151;1580291440104;1580291423047;1580291437779;-1.0;0.4930452;;20953;14732;;0.006954799999999983
37;1579083833770;shared_body;oel;1579083809093;1579083833766;1579083815970;1579083829141;52.399770000000004;-1.0;;24673;13171;-2.3997700000000037;
25;1579264016674;shared_view;brush;1579263983037;1579264016669;1579263996969;1579264004948;-1.0;-1.0;PaintConditionData/U25DataPaint.csv;33632;7979;;
28;1579773023938;shared_view;oel;1579773005707;1579773023934;1579773011937;1579773018743;53.99975;-1.0;;18227;6806;-3.999749999999999;
46;1599742197035;shared_body;oel;1599742183063;1599742197031;1599742185932;1599742192773;57.1997;-1.0;;13968;6841;-7.1997;
46;1599741691338;shared_body;brush;1599741679984;1599741691334;1599741681533;1599741688713;-1.0;-1.0;PaintConditionData/U46DataPaint.csv;11350;7180;;
10;1579613325027;verbal;drehen;1579613206884;1579613325022;1579613275978;1579613322112;-1.0;0.5015727;;118138;46134;;-0.0015726999999999824
28;1579772650179;shared_view;brush;1579772638112;1579772650173;1579772641105;1579772647985;-1.0;-1.0;PaintConditionData/U28DataPaint.csv;12061;6880;;
25;1579263688413;shared_view;oel;1579263666779;1579263688409;1579263678267;1579263685305;53.89975;-1.0;;21630;7038;-3.8997499999999974;
28;1579773277153;shared_view;drehen;1579773243586;1579773277148;1579773247583;1579773273485;-1.0;0.49922559999999994;;33562;25902;;0.0007744000000000639
10;1579612231900;verbal;brush;1579612161110;1579612231896;1579612215074;1579612229596;-1.0;-1.0;PaintConditionData/U10DataPaint.csv;70786;14522;;
46;1599742640588;shared_body;drehen;1599742522153;1599742640583;1599742526281;1599742636192;-1.0;0.5975409;;118430;109911;;-0.09754090000000004
10;1579612865164;verbal;oel;1579612836225;1579612865160;1579612852185;1579612861246;63.6996;-1.0;;28935;9061;-13.699599999999997;
25;1579263044091;shared_view;drehen;1579263017727;1579263044087;1579263022999;1579263041274;-1.0;0.482397;;26360;18275;;0.01760299999999998
