ParticipantID,Canvas,Task,TCT,Scene
15,Head-up Display,Learning,7.46758603515625,Semi-Open
16,Head-up Display,Learning,3.91301201171875,Closed
17,Head-up Display,Learning,5.9004580078125,Open
18,Head-up Display,Learning,4.998904052734375,Closed
19,Head-up Display,Learning,4.429671923828126,Semi-Open
20,Head-up Display,Learning,9.766256005859375,Closed
21,Head-up Display,Learning,3.9706320312499996,Open
22,Head-up Display,Learning,3.92513203125,Semi-Open
23,Head-up Display,Learning,7.224228076171874,Semi-Open
24,Head-up Display,Learning,5.289695947265625,Open
1,Head-up Display,ProblemSolving,6.10251591796875,Closed
2,Head-up Display,ProblemSolving,5.44633408203125,Open
3,Head-up Display,ProblemSolving,9.369523974609375,Semi-Open
4,Head-up Display,ProblemSolving,3.6341860839843747,Semi-Open
5,Head-up Display,ProblemSolving,4.13523203125,Closed
6,Head-up Display,ProblemSolving,7.787701953125,Closed
7,Head-up Display,ProblemSolving,3.8032339843750003,Open
8,Head-up Display,ProblemSolving,3.4184260253906253,Open
9,Head-up Display,ProblemSolving,5.128695996093751,Open
10,Head-up Display,ProblemSolving,6.68348203125,Semi-Open
11,Head-up Display,ProblemSolving,9.2072640625,Closed
12,Head-up Display,ProblemSolving,3.8194640136718747,Semi-Open
13,Head-up Display,ProblemSolving,6.318201904296875,Closed
14,Head-up Display,ProblemSolving,3.239268017578125,Open
15,Head-up Display,ProblemSolving,4.854343994140625,Semi-Open
16,Head-up Display,ProblemSolving,2.8330759277343747,Closed
17,Head-up Display,ProblemSolving,4.454371972656251,Open
18,Head-up Display,ProblemSolving,5.247669970703125,Closed
19,Head-up Display,ProblemSolving,4.08373798828125,Semi-Open
20,Head-up Display,ProblemSolving,7.1877720703125,Closed
21,Head-up Display,ProblemSolving,4.008812060546875,Open
22,Head-up Display,ProblemSolving,3.06395400390625,Semi-Open
23,Head-up Display,ProblemSolving,5.1669,Semi-Open
24,Head-up Display,ProblemSolving,7.684221972656251,Open
1,In-Situ,Gaming,7.752179980468751,Closed
2,In-Situ,Gaming,9.0178,Open
3,In-Situ,Gaming,5.81515595703125,Semi-Open
4,In-Situ,Gaming,5.7043759765625,Semi-Open
5,In-Situ,Gaming,4.098336083984375,Closed
6,In-Situ,Gaming,5.532294042968751,Closed
7,In-Situ,Gaming,7.574472021484375,Open
8,In-Situ,Gaming,5.317390087890625,Open
9,In-Situ,Gaming,7.199193994140626,Open
10,In-Situ,Gaming,5.322483984375001,Semi-Open
11,In-Situ,Gaming,10.434284033203125,Closed
12,In-Situ,Gaming,9.194754052734375,Semi-Open
13,In-Situ,Gaming,4.4849880371093755,Closed
14,In-Situ,Gaming,3.9432060058593748,Open
15,In-Situ,Gaming,5.686702001953125,Semi-Open
16,In-Situ,Gaming,4.869125976562501,Closed
17,In-Situ,Gaming,7.047210107421876,Open
18,In-Situ,Gaming,7.4968240234375,Closed
19,In-Situ,Gaming,4.7973439453125,Semi-Open
20,In-Situ,Gaming,8.123876025390626,Closed
21,In-Situ,Gaming,8.097237988281252,Open
22,In-Situ,Gaming,7.960235937499999,Semi-Open
23,In-Situ,Gaming,8.1728919921875,Semi-Open
24,In-Situ,Gaming,7.6258639648437505,Open
1,In-Situ,Learning,13.7752599609375,Closed
2,In-Situ,Learning,10.992260009765625,Open
3,In-Situ,Learning,9.93626201171875,Semi-Open
4,In-Situ,Learning,13.868293896484374,Semi-Open
5,In-Situ,Learning,13.895092041015625,Closed
6,In-Situ,Learning,13.564831933593748,Closed
7,In-Situ,Learning,12.4697419921875,Open
8,In-Situ,Learning,11.41704794921875,Open
9,In-Situ,Learning,9.39130791015625,Open
10,In-Situ,Learning,12.835181982421876,Semi-Open
11,In-Situ,Learning,4.3003680175781245,Closed
12,In-Situ,Learning,15.142300048828124,Semi-Open
13,In-Situ,Learning,10.139234033203127,Closed
14,In-Situ,Learning,14.75297001953125,Open
15,In-Situ,Learning,9.898698046875001,Semi-Open
16,In-Situ,Learning,15.129130029296874,Closed
17,In-Situ,Learning,13.326981982421875,Open
18,In-Situ,Learning,9.95308203125,Closed
19,In-Situ,Learning,10.21509794921875,Semi-Open
20,In-Situ,Learning,14.167571972656251,Closed
21,In-Situ,Learning,15.09827802734375,Open
22,In-Situ,Learning,10.712452453613281,Semi-Open
23,In-Situ,Learning,14.220289990234374,Semi-Open
24,In-Situ,Learning,13.946371972656252,Open
1,In-Situ,ProblemSolving,14.553607958984376,Closed
2,In-Situ,ProblemSolving,11.123466015625,Open
3,In-Situ,ProblemSolving,15.1496900390625,Semi-Open
4,In-Situ,ProblemSolving,12.24961591796875,Semi-Open
5,In-Situ,ProblemSolving,12.248929931640625,Closed
6,In-Situ,ProblemSolving,13.283117968750002,Closed
7,In-Situ,ProblemSolving,10.00012001953125,Open
8,In-Situ,ProblemSolving,12.7297859375,Open
9,In-Situ,ProblemSolving,12.857158007812501,Open
10,In-Situ,ProblemSolving,12.005164013671873,Semi-Open
11,In-Situ,ProblemSolving,4.392757958984374,Closed
12,In-Situ,ProblemSolving,15.148613916015625,Semi-Open
13,In-Situ,ProblemSolving,11.958514013671873,Closed
14,In-Situ,ProblemSolving,11.013030029296875,Open
15,In-Situ,ProblemSolving,11.931248046875002,Semi-Open
16,In-Situ,ProblemSolving,13.777032031249998,Closed
17,In-Situ,ProblemSolving,12.996095996093752,Open
18,In-Situ,ProblemSolving,13.462993994140623,Closed
19,In-Situ,ProblemSolving,8.046846044921875,Semi-Open
20,In-Situ,ProblemSolving,15.10511591796875,Closed
21,In-Situ,ProblemSolving,15.110166064453125,Open
22,In-Situ,ProblemSolving,15.139077978515626,Semi-Open
23,In-Situ,ProblemSolving,13.255622021484376,Semi-Open
24,In-Situ,ProblemSolving,12.9814060546875,Open
1,On-Body,Gaming,6.903610058593751,Closed
2,On-Body,Gaming,5.87281005859375,Open
3,On-Body,Gaming,8.446956054687499,Semi-Open
4,On-Body,Gaming,6.412056005859375,Semi-Open
